ID,Product,Country,State,PostalCode
1,banana,Canada,Karnataka,425354
2,elderberry,Canada,Karnataka,739450
3,cherry,Canada,Haryana,976915 
4,cherry,Canada,Karnataka,623835
5,apple,USA,Karnataka,463585
6,cherry,Canada,Karnataka,163063
7,date,Australia,Delhi,970257
8,cherry,UK,Haryana,647618
9,banana,UK,Delhi,605243
10,date,India,Punjab,212917
11,banana,Canada,Tamil Nadu,502094
12,apple,India,Karnataka,725892
13,cherry,UK,Punjab,224344
14,cherry,USA,Delhi,662822
15,banana,India,Karnataka,337046
16,date,UK,Karnataka,508461
17,date,USA,Karnataka,797143
18,elderberry,India,Haryana,102852
19,date,USA,Delhi,958997
20,cherry,Australia,Haryana,372099
21,date,Australia,Delhi,101683
22,banana,USA,Punjab,367435
23,date,USA,Delhi,141790
24,elderberry,Australia,Punjab,224393
25,date,UK,Tamil Nadu,345516
26,cherry,UK,Delhi,670439
27,cherry,UK,Tamil Nadu,255599
28,date,Canada,Karnataka,583868
29,elderberry,India,Karnataka,546793
30,date,USA,Punjab,987596
31,apple,Australia,Delhi,850103
32,apple,India,Karnataka,761877
33,cherry,India,Karnataka,604194
34,apple,Canada,Tamil Nadu,434482
35,date,India,Tamil Nadu,634411
36,elderberry,Australia,Delhi,816125
37,apple,UK,Karnataka,679449
38,banana,USA,Tamil Nadu,292957
39,banana,India,Tamil Nadu,538443
40,elderberry,Canada,Haryana,905195
41,banana,USA,Haryana,162127
42,cherry,Canada,Tamil Nadu,815029
43,apple,UK,Delhi,400346
44,date,Canada,Haryana,715967
45,date,Australia,Punjab,575748
46,cherry,USA,Tamil Nadu,719497
47,banana,Australia,Tamil Nadu,441275
48,cherry,Canada,Punjab,687566
49,date,USA,Tamil Nadu,129966
50,elderberry,UK,Tamil Nadu,798444
51,date,Canada,Tamil Nadu,894208
52,elderberry,UK,Karnataka,798911
53,apple,UK,Haryana,989970
54,cherry,Australia,Punjab,172908
55,banana,India,Punjab,752840
56,banana,USA,Haryana,179940
57,cherry,USA,Punjab,236964
58,apple,Australia,Punjab,772883
59,date,UK,Tamil Nadu,588959
60,elderberry,UK,Haryana,927573
61,banana,Australia,Delhi,140941
62,banana,Australia,Karnataka,252090
63,elderberry,USA,Punjab,918182
64,date,UK,Punjab,912325
65,apple,Canada,Karnataka,920336
66,banana,India,Karnataka,453129
67,apple,Canada,Karnataka,459569
68,date,India,Punjab,186621
69,date,Canada,Tamil Nadu,773214
70,banana,USA,Haryana,376971
71,date,India,Tamil Nadu,503712
72,apple,UK,Karnataka,732393
73,elderberry,Canada,Punjab,308501
74,apple,USA,Punjab,154371
75,cherry,Australia,Haryana,184375
76,date,India,Tamil Nadu,771252
77,apple,USA,Punjab,566986
78,elderberry,UK,Haryana,289274
79,apple,USA,Karnataka,833578
80,banana,India,Delhi,468558
81,elderberry,Canada,Tamil Nadu,595920
82,cherry,Australia,Karnataka,243970
83,apple,Canada,Karnataka,364429
84,apple,Canada,Delhi,386886
85,elderberry,Australia,Delhi,842907
86,cherry,USA,Haryana,170525
87,cherry,Australia,Haryana,410005
88,cherry,UK,Delhi,459391
89,apple,Canada,Karnataka,599649
90,elderberry,Australia,Tamil Nadu,203619
91,elderberry,USA,Tamil Nadu,777477
92,date,Australia,Punjab,343324
93,date,India,Delhi,418870
94,cherry,USA,Tamil Nadu,451406
95,date,India,Haryana,348056
96,apple,UK,Karnataka,161216
97,date,UK,Punjab,351540
98,banana,Australia,Punjab,339504
99,apple,Canada,Haryana,553611
100,elderberry,Australia,Punjab,965118
101,date,Canada,Haryana,281360
102,date,UK,Karnataka,952583
103,banana,Canada,Karnataka,836533
104,banana,UK,Haryana,902604
105,apple,India,Karnataka,796121
106,date,India,Delhi,740761
107,apple,Canada,Punjab,955522
108,elderberry,India,Haryana,143686
109,banana,Australia,Delhi,240814
110,elderberry,India,Karnataka,221368
111,cherry,Canada,Delhi,853598
112,apple,UK,Haryana,477947
113,banana,Australia,Tamil Nadu,862175
114,banana,USA,Tamil Nadu,717577
115,apple,Canada,Delhi,576412
116,elderberry,USA,Delhi,668151
117,date,Canada,Tamil Nadu,288963
118,elderberry,Australia,Haryana,296090
119,elderberry,Canada,Haryana,240369
120,date,UK,Delhi,484872
121,banana,Australia,Delhi,480319
122,elderberry,UK,Haryana,164420
123,cherry,USA,Haryana,436895
124,date,USA,Tamil Nadu,136069
125,date,Australia,Karnataka,334411
126,cherry,UK,Tamil Nadu,502642
127,apple,Canada,Tamil Nadu,595634
128,date,India,Karnataka,568213
129,elderberry,UK,Tamil Nadu,803476
130,date,Australia,Delhi,623794
131,date,USA,Punjab,904791
132,banana,UK,Punjab,477403
133,apple,India,Delhi,845528
134,date,UK,Punjab,892220
135,apple,USA,Karnataka,540920
136,banana,UK,Haryana,582298
137,cherry,Canada,Karnataka,371708
138,banana,USA,Delhi,706328
139,banana,Canada,Haryana,459009
140,elderberry,UK,Delhi,852108
141,cherry,India,Tamil Nadu,953813
142,elderberry,Canada,Tamil Nadu,925277
143,date,USA,Delhi,935558
144,apple,India,Haryana,929274
145,banana,Canada,Karnataka,477791
146,date,USA,Punjab,233715
147,apple,UK,Haryana,798560
148,banana,Canada,Delhi,550184
149,cherry,Canada,Punjab,314163
150,apple,Canada,Haryana,420998
151,date,UK,Delhi,134259
152,banana,UK,Delhi,804137
153,cherry,India,Karnataka,887797
154,date,UK,Haryana,974570
155,date,India,Tamil Nadu,152341
156,elderberry,Canada,Karnataka,444114
157,banana,Australia,Tamil Nadu,951215
158,apple,India,Haryana,945862
159,banana,UK,Tamil Nadu,685246
160,date,UK,Haryana,780571
161,apple,Australia,Tamil Nadu,364619
162,date,UK,Karnataka,842063
163,apple,Canada,Haryana,204431
164,elderberry,USA,Haryana,922215
165,elderberry,Canada,Karnataka,896097
166,banana,Australia,Delhi,385356
167,apple,Canada,Haryana,907680
168,cherry,Australia,Punjab,969868
169,banana,UK,Haryana,818081
170,date,Australia,Punjab,280904
171,date,USA,Punjab,534038
172,date,Australia,Delhi,403750
173,date,Canada,Haryana,126850
174,elderberry,USA,Haryana,256548
175,date,USA,Haryana,879515
176,elderberry,Australia,Tamil Nadu,670961
177,elderberry,Australia,Punjab,485692
178,apple,India,Delhi,889273
179,date,UK,Haryana,161813
180,cherry,Canada,Tamil Nadu,103904
181,elderberry,UK,Tamil Nadu,957692
182,apple,USA,Haryana,946310
